mlp_ratio,sum_mlp_ratio,num_heads,one_layer_heads,sum_num_heads,embed_dim,sum_embed,one_layer_embed,layer_num,dss score,retrain accuracy50,resultfilename,retrain accuracy100,resultfilename2,grasp score,snip score,training time
 8 16 16 8,48, 6 6 3 3,6,18, 64 64 64 64,256,64,4,105.4701691,40.93,11477188,71.2,11496294,-0.06866274,11.38190746,15:01
 16 32 32 32 8 32,152, 4 6 6 6 6 4,4,32, 64 64 64 64 64 64,384,64,6,104.7815323,47.63,11477327,78.95,11496433,-0.128878802,24.85786247,20:42
 32 32 8 8 32,112, 6 3 4 4 4,6,21, 64 64 64 64 64,320,64,5,103.8760376,42.6,11477443,73.07,11496549,-0.091240644,16.75438499,16:13
 32 32 8 16 8,96, 6 3 4 3 6,6,22, 64 64 64 64 64,320,64,5,103.7170486,39.41,11477225,76.09,11496331,-0.075698808,15.22885132,12:33
 32 16 8 16,72, 4 6 4 6,4,20, 64 64 64 64,256,64,4,102.0755157,39.37,11477073,74.76,11496179,-0.046233445,12.72599411,9:48
 16 32 16 32,96, 6 4 3 4,6,17, 64 64 64 64,256,64,4,102.0617447,41.04,11477309,74.26,11496415,-0.115755871,17.03431702,13:42
 32 16 16 8 8 32,112, 4 6 3 6 3 3,4,25, 64 64 64 64 64 64,384,64,6,101.5783615,41.53,11477527,78.4,11496633,-0.066436693,19.30649948,15:43
 32 16 16 8,72, 6 3 6 3,6,18, 64 64 64 64,256,64,4,101.4699554,38.52,11477311,68,11496417,-0.068348452,12.27141571,12:32
 32 8 32 32 16 16 8,144, 6 3 6 4 6 3 4,6,32, 64 64 64 64 64 64 64,448,64,7,101.2535095,52.78,11477529,77.93,11496635,-0.484085619,40.72127151,18:43
 32 32 32 8,104, 3 6 4 4,3,17, 64 64 64 64,256,64,4,100.3885803,40.8,11477431,70.47,11496537,-0.110194117,16.16571236,11:53
 32 8 16 32 8 8,104, 6 3 6 4 6 3,6,28, 64 64 64 64 64 64,384,64,6,99.73889923,47.29,11477191,78.63,11496297,-0.109137319,17.84932518,18:15
 32 8 16 32,88, 4 6 4 3,4,17, 64 64 64 64,256,64,4,99.56821442,40.2,11477442,69.17,11496548,-0.103925243,15.26595592,12:33
 32 16 16 32,96, 6 3 4 3,6,16, 64 64 64 64,256,64,4,99.11968994,40.52,11477317,70.32,11496423,-0.111894071,16.12488937,12:58
 8 16 32 8,64, 6 4 6 4,6,20, 64 64 64 64,256,64,4,98.44231415,42.28,11477422,72.7,11496528,-0.088318318,13.50826836,14:41
 8 32 8 8 16,72, 6 4 3 6 4,6,23, 64 64 64 64 64,320,64,5,98.32288361,40.24,11477074,71.65,11496180,-0.059940815,13.96351147,10:17
 32 8 32 8 16 8,104, 6 3 4 4 4 4,6,25, 64 64 64 64 64 64,384,64,6,98.1033783,42.16,11477535,80.62,11496641,-0.105100043,17.2108078,13:38
 8 32 8 16 8,72, 6 4 3 4 4,6,21, 64 64 64 64 64,320,64,5,97.87449646,40.7,11477502,74.66,11496608,-0.029528022,14.08549118,13:16
 8 32 8 8 8,64, 4 6 6 3 3,4,22, 64 64 64 64 64,320,64,5,97.86488342,39.98,11477147,70.62,11496253,-0.063911907,12.72365189,12:36
 16 16 16 32 8 16,104, 4 6 6 4 6 3,4,29, 64 64 64 64 64 64,384,64,6,97.7043457,47.64,11477308,78.45,11496414,-0.085447751,18.62184143,15:43
 32 8 32 16,88, 6 3 4 3,6,16, 64 64 64 64,256,64,4,97.65184784,38.74,11477071,70.52,11496177,-0.113132022,15.26854038,9:50
 16 32 32 8 16 8 8,120, 6 3 4 3 4 3 6,6,29, 64 64 64 64 64 64 64,448,64,7,97.58331299,45.52,11477368,80.54,11496474,-0.650947094,44.78807068,17:37
 16 16 8 16 16,72, 6 4 3 6 4,6,23, 64 64 64 64 64,320,64,5,96.7702179,41.25,11477365,75.82,11496471,-0.045383573,14.31290817,14:40
 16 32 16 32,96, 6 3 4 4,6,17, 64 64 64 64,256,64,4,96.47000885,41.04,11477413,72.45,11496519,-0.114231415,16.727211,15:15
 16 16 32 16 16 32 16,144, 4 6 4 4 4 6 3,4,31, 64 64 64 64 64 64 64,448,64,7,96.21665192,44.07,11477401,77.99,11496507,-0.798248768,46.42260361,15:32
 32 32 16 32 8 8 16,144, 4 4 4 4 3 3 6,4,28, 64 64 64 64 64 64 64,448,64,7,95.40988922,43.96,11477345,77.69,11496451,-1.033665895,55.35079956,18:13
 32 32 16 16 8 16,120, 4 4 4 4 4 3,4,23, 64 64 64 64 64 64,384,64,6,95.23020935,45.47,11477101,80.04,11496207,-0.08737047,19.05896378,11:21
 32 8 16 16 16 16 8,112, 3 6 6 4 6 4 6,3,35, 64 64 64 64 64 64 64,448,64,7,94.44583893,46.21,11477530,79.06,11496636,-0.563973725,43.59257507,16:23
 32 8 8 8 32 8,96, 6 3 3 3 3 6,6,24, 64 64 64 64 64 64,384,64,6,94.43307495,40.04,11477474,77.27,11496580,-0.08500085,16.46637917,14:15
 8 16 16 32 32 32 32,168, 6 4 3 6 3 4 4,6,30, 64 64 64 64 64 64 64,448,64,7,94.14491272,42.01,11477155,79.2,11496261,-1.138995171,60.73227692,15:42
 32 8 8 32,80, 3 6 6 4,3,19, 64 64 64 64,256,64,4,93.61940002,39.68,11477240,69.8,11496346,-0.055615164,14.01383972,11:23
 16 8 16 8,48, 6 4 3 3,6,16, 64 64 64 64,256,64,4,93.42732239,38.43,11477221,70.26,11496327,-0.054953292,10.71288872,12:33
 32 16 16 8,72, 4 4 6 6,4,20, 64 64 64 64,256,64,4,92.80214691,38.55,11477090,68.78,11496196,-0.065063491,12.21141529,9:02
 8 32 32 16,88, 6 3 3 3,6,15, 64 64 64 64,256,64,4,92.53717804,40.02,11477339,71.38,11496445,-0.124853596,16.56297874,13:09
 8 16 32 8 16 32,112, 4 6 4 4 3 4,4,25, 64 64 64 64 64 64,384,64,6,92.47867584,44.66,11477466,78.34,11496572,-0.077727452,20.77635193,17:31
 8 8 32 16 8 32 32,136, 4 6 6 3 3 3 3,4,28, 64 64 64 64 64 64 64,448,64,7,92.30970764,40.53,11477310,80.1,11496416,-0.958863854,55.1414299,17:36
 8 16 16 8 8,56, 4 6 4 6 6,4,26, 64 64 64 64 64,320,64,5,91.6239624,40.45,11477358,74.9,11496464,-0.064510182,12.08158875,13:36
 16 32 8 16 32 16,120, 3 6 4 4 4 6,3,27, 64 64 64 64 64 64,384,64,6,91.24493408,46.14,11477200,78.76,11496306,-0.075008422,20.18192673,15:08
 16 16 16 32,80, 6 3 4 4,6,17, 64 64 64 64,256,64,4,91.1566925,41.37,11477332,73.92,11496438,-0.099591255,15.28566074,12:36
 32 16 32 32 32 8,152, 4 4 3 6 6 3,4,26, 64 64 64 64 64 64,384,64,6,91.12169647,44.9,11477313,77.64,11496419,-0.15581724,22.97581863,16:55
 16 16 32 8 8 16 32,128, 6 3 3 3 3 6 4,6,28, 64 64 64 64 64 64 64,448,64,7,90.96900177,39.73,11477243,80.18,11496349,-1.143801808,59.06521606,15:34
 16 32 16 16,80, 3 6 3 3,3,15, 64 64 64 64,256,64,4,90.02307892,39.75,11477214,71.81,11496320,-0.061647862,14.37509727,11:14
 8 16 32 8 32 32 8,136, 6 3 4 6 3 4 3,6,29, 64 64 64 64 64 64 64,448,64,7,89.43914032,46.4,11477399,80.96,11496505,-0.416042835,38.97322083,17:40
 16 16 16 16 16 32 8,120, 3 6 6 4 3 3 3,3,28, 64 64 64 64 64 64 64,448,64,7,89.18201447,44.87,11477256,77.98,11496362,-0.39789784,35.49682236,16:33
 32 32 32 8 16,120, 4 3 3 6 3,4,19, 64 64 64 64 64,320,64,5,88.97872925,39.18,11477300,77.11,11496406,-0.108758323,17.13196754,13:58
 32 16 16 8 8,80, 4 4 3 4 6,4,21, 64 64 64 64 64,320,64,5,88.69538116,39.07,11477405,75.19,11496511,-0.063218519,13.12110233,12:40
 32 8 32 32,104, 4 4 4 3,4,15, 64 64 64 64,256,64,4,88.32396698,39.58,11477371,71.89,11496477,-0.154885709,17.50452995,14:17
 16 8 16 8,48, 6 3 4 4,6,17, 64 64 64 64,256,64,4,87.96665955,38.68,11477218,68,11496324,-0.049774751,10.52810001,12:16
 32 32 8 8 16 16 16,128, 4 3 4 3 6 6 3,4,29, 64 64 64 64 64 64 64,448,64,7,87.52589417,41.67,11477080,78.3,11496186,-0.917225242,45.21290588,12:44
 32 8 16 16 16 32 8,128, 4 4 4 4 6 6 6,4,34, 64 64 64 64 64 64 64,448,64,7,87.33538818,45.32,11477378,77.25,11496484,-0.463992923,43.26917648,15:14
 32 8 32 16 8,96, 4 4 3 3 3,4,17, 64 64 64 64 64,320,64,5,87.02272034,39.16,11477377,75.15,11496483,-0.106664255,15.96154213,12:41
 32 8 8 8,56, 4 4 4 6,4,18, 64 64 64 64,256,64,4,86.68698883,37.95,11477123,70.96,11496229,-0.042156808,10.11281776,13:26
 8 32 8 16 32 16,112, 4 4 6 6 6 4,4,30, 64 64 64 64 64 64,384,64,6,86.55656433,43.95,11477263,79.52,11496369,-0.074937373,19.81306458,16:48
 8 16 16 32 32 8,112, 6 3 3 4 4 4,6,24, 64 64 64 64 64 64,384,64,6,86.53528595,45.11,11477106,77.23,11496212,-0.130820483,19.78482819,11:27
 32 32 8 16 32,120, 3 4 4 4 6,3,21, 64 64 64 64 64,320,64,5,86.42494202,39.93,11477253,74.85,11496359,-0.072859332,17.54277992,14:26
 8 32 8 8,56, 3 6 3 4,3,16, 64 64 64 64,256,64,4,86.03464508,39.52,11477070,69.99,11496176,-0.050821543,11.58442879,9:13
 16 16 8 16 32 8 32,128, 3 6 4 4 4 4 4,3,29, 64 64 64 64 64 64 64,448,64,7,85.93990326,43.61,11477503,77.71,11496609,-1.134272933,55.46352768,17:58
 8 16 8 16 32 16,96, 6 3 3 3 6 4,6,25, 64 64 64 64 64 64,384,64,6,85.46962738,42.93,11477484,78.66,11496590,-0.075763702,18.633358,12:41
 16 32 32 16 32 32 16,176, 4 3 6 6 6 3 4,4,32, 64 64 64 64 64 64 64,448,64,7,85.29917908,45.01,11477394,77.38,11496500,-0.803977609,52.95364761,16:20
 32 8 32 32 32,136, 4 3 6 4 6,4,23, 64 64 64 64 64,320,64,5,84.67127228,39.92,11477512,77.55,11496618,-0.168221474,20.31741905,14:25
 8 16 8 8 32 8 16,96, 3 6 6 3 3 4 4,3,29, 64 64 64 64 64 64 64,448,64,7,84.62639618,44.25,11477496,77.77,11496602,-1.07984817,46.65329361,18:01
 16 16 8 32,72, 4 4 6 3,4,17, 64 64 64 64,256,64,4,83.72027588,40.24,11477176,69.09,11496282,-0.042682044,13.95621872,10:58
 32 8 32 16,88, 3 4 6 6,3,19, 64 64 64 64,256,64,4,83.16326904,38.9,11477262,71.27,11496368,-0.107369959,15.07012081,14:19
 32 32 16 32 32 16,160, 3 3 6 3 6 6,3,27, 64 64 64 64 64 64,384,64,6,82.84465027,46.41,11477322,78.91,11496428,-0.103230849,22.70176697,15:58
 8 32 16 32 8 16,112, 4 4 3 3 3 4,4,21, 64 64 64 64 64 64,384,64,6,82.491539,46.29,11477150,78.9,11496256,-0.073571309,19.25199699,18:10
 16 8 16 32 16 16 16,120, 4 4 6 3 6 3 4,4,30, 64 64 64 64 64 64 64,448,64,7,81.84183502,43.53,11477057,77.8,11496163,-0.798929751,46.60014343,12:27
 16 16 32 16,80, 4 4 3 3,4,14, 64 64 64 64,256,64,4,81.66591644,40.28,11477470,70.33,11496576,-0.104298711,15.02520561,11:55
 32 16 16 8 16,88, 4 3 3 4 4,4,18, 64 64 64 64 64,320,64,5,81.6622467,38.98,11477118,75.22,11496224,-0.072022095,13.80980778,11:56
 32 16 32 16 32 16,144, 3 4 3 3 6 3,3,22, 64 64 64 64 64 64,384,64,6,81.66009521,40.73,11477473,76.88,11496579,-0.095181763,21.92391586,17:35
 16 32 32 32 16 8 8,144, 3 4 4 6 4 4 6,3,31, 64 64 64 64 64 64 64,448,64,7,81.443573,48.54,11477348,79.14,11496454,-0.854012847,46.97289276,17:19
 32 16 16 16,80, 3 4 4 4,3,15, 64 64 64 64,256,64,4,81.28614807,39.22,11477244,73.88,11496350,-0.057057053,13.50836945,14:11
 8 8 32 32 8 32 8,128, 3 6 3 6 4 6 6,3,34, 64 64 64 64 64 64 64,448,64,7,81.24832916,46.55,11477208,78.63,11496314,-0.58327055,44.78683472,15:11
 32 32 16 32 16,128, 3 3 4 3 6,3,19, 64 64 64 64 64,320,64,5,80.10500336,41.16,11477406,75.71,11496512,-0.122359864,18.19062042,13:30
 16 16 8 32 16,88, 4 4 3 3 4,4,18, 64 64 64 64 64,320,64,5,80.03659058,41.66,11477103,76.37,11496209,-0.065607265,15.50902367,10:10
 32 8 8 32 8 32 16,136, 4 3 4 4 3 3 6,4,27, 64 64 64 64 64 64 64,448,64,7,79.72234344,42.14,11477517,77.83,11496623,-0.798198521,52.23610687,15:48
 8 32 32 8 16 32,128, 3 4 6 3 6 4,3,26, 64 64 64 64 64 64,384,64,6,79.45394897,46.09,11477076,77.9,11496182,-0.098551273,22.04265022,11:54
 16 16 32 32 32 32 8,168, 4 3 6 3 6 3 4,4,29, 64 64 64 64 64 64 64,448,64,7,79.18592834,47.43,11477372,79.17,11496478,-0.457621694,42.38035202,16:56
 16 8 32 8 8,72, 4 4 3 3 6,4,20, 64 64 64 64 64,320,64,5,78.93691254,40.79,11477418,76.11,11496524,-0.080055408,13.50674152,15:50
 32 8 8 8,56, 4 3 4 3,4,14, 64 64 64 64,256,64,4,78.86551666,37.88,11477432,68.7,11496538,-0.039827608,9.81295681,14:39
 16 32 8 16 32,104, 4 3 3 3 4,4,17, 64 64 64 64 64,320,64,5,78.36569977,40.77,11477140,76.22,11496246,-0.0653743,16.323946,12:45
 32 8 8 8,56, 3 4 4 6,3,17, 64 64 64 64,256,64,4,78.24028015,38.01,11477397,70.59,11496503,-0.034927092,10.12568951,12:01
 32 8 16 16,72, 3 4 4 3,3,14, 64 64 64 64,256,64,4,78.19706726,39.02,11477550,73,11496656,-0.054956235,12.52940178,14:31
 8 16 16 16 16 32,104, 4 4 4 3 6 3,4,24, 64 64 64 64 64 64,384,64,6,78.15933228,44.16,11477204,77.44,11496310,-0.058571264,19.21389198,17:10
 32 8 8 8 16 8,80, 3 4 4 4 6 4,3,25, 64 64 64 64 64 64,384,64,6,78.07613373,43.5,11477552,77.15,11496658,-0.08749643,14.69719124,13:37
 8 32 32 8 16 8 32,136, 3 4 3 3 6 4 6,3,29, 64 64 64 64 64 64 64,448,64,7,75.55340576,41.13,11477444,80.52,11496550,-1.786077976,67.85003662,14:43
 8 32 8 16,64, 3 4 4 6,3,17, 64 64 64 64,256,64,4,75.22916412,40.34,11477287,74.09,11496393,-0.020442821,12.35374641,13:16
 16 32 32 16 32 8,136, 3 3 4 6 6 3,3,25, 64 64 64 64 64 64,384,64,6,74.37007141,43.8,11477344,79.04,11496450,-0.105968133,20.97811699,16:41
 16 16 8 32 16 16,104, 4 3 3 6 6 4,4,26, 64 64 64 64 64 64,384,64,6,73.93251038,44.52,11477354,78.85,11496460,-0.061922476,18.56690407,15:22
 8 16 8 8 16,56, 4 3 6 6 4,4,23, 64 64 64 64 64,320,64,5,73.62585449,40.56,11477316,73.02,11496422,-0.046165213,11.55263424,15:08
 16 16 8 8,48, 4 3 4 3,4,14, 64 64 64 64,256,64,4,73.61476898,39.11,11477212,67.32,11496318,-0.025194965,9.882169724,10:54
 8 16 16 16 16 32,104, 3 4 6 3 4 6,3,26, 64 64 64 64 64 64,384,64,6,72.40995789,43.37,11477483,76.46,11496589,-0.057587638,19.29942131,17:13
 8 16 8 32 32 16,112, 3 4 6 3 6 3,3,25, 64 64 64 64 64 64,384,64,6,72.10263062,44.88,11477246,78.47,11496352,-0.062062874,19.00577545,15:18
 16 16 8 32 16,88, 3 4 3 4 3,3,17, 64 64 64 64 64,320,64,5,71.90010071,42.02,11477412,77.08,11496518,-0.050490558,15.22147846,16:02
 16 16 32 32 16 8 32,152, 3 3 6 6 4 3 4,3,29, 64 64 64 64 64 64 64,448,64,7,71.45545197,40.43,11477113,79.04,11496219,-1.09148109,57.54989243,12:50
 8 16 32 16 32,104, 3 4 4 3 3,3,17, 64 64 64 64 64,320,64,5,71.06304932,42.35,11477363,77.93,11496469,-0.08924982,17.32039452,14:25
 8 16 8 16 16 16 8,88, 3 4 4 4 6 4 6,3,31, 64 64 64 64 64 64 64,448,64,7,69.39785004,43.22,11477229,79.19,11496335,-0.848531961,41.24711609,14:31
 8 16 16 8,48, 4 3 3 3,4,13, 64 64 64 64,256,64,4,69.25590515,41.01,11477500,70.85,11496606,-0.052812658,10.42330074,10:34
 8 8 32 32,80, 3 4 4 6,3,17, 64 64 64 64,256,64,4,68.95063782,39.68,11477082,71.6,11496188,-0.136164367,15.77499104,9:15
 8 8 16 32 32,96, 4 3 4 4 3,4,18, 64 64 64 64 64,320,64,5,68.39457703,40.73,11477438,76.12,11496544,-0.109921604,16.1176548,12:47
 8 8 8 16 8 8 8,64, 4 3 4 6 4 3 6,4,30, 64 64 64 64 64 64 64,448,64,7,68.06777191,44.28,11477255,75.15,11496361,-0.660389483,36.83072662,16:58
 8 32 8 16,64, 3 3 3 6,3,15, 64 64 64 64,256,64,4,66.94707489,40.56,11477268,72.86,11496374,-0.021774404,11.98446751,12:48
 8 8 16 8,40, 4 3 3 3,4,13, 64 64 64 64,256,64,4,66.27693176,38.66,11477548,71.96,11496654,-0.051417325,9.457445145,14:06
 8 8 32 16 32 8,104, 3 3 6 4 6 3,3,25, 64 64 64 64 64 64,384,64,6,64.11327362,41.64,11477257,77.82,11496363,-0.10678225,18.42411804,16:25
 8 16 32 8,64, 3 3 3 6,3,15, 64 64 64 64,256,64,4,63.10741425,42.03,11477192,73.65,11496298,-0.07936696,12.71644783,11:49
 8 8 8 32 16,72, 3 3 4 6 4,3,20, 64 64 64 64 64,320,64,5,59.84614182,41.03,11477153,74,11496259,-0.056512035,13.17165184,16:36
 8 8 8 8 8 32,72, 3 3 4 6 4 4,3,24, 64 64 64 64 64 64,384,64,6,59.52276993,45.96,11477509,79.25,11496615,-0.030580208,15.60082912,16:18
 16 32 8 8 8 8 16,96, 6 6 6 6 3 6 6,6,39, 32 32 32 32 32 32 32,224,32,7,27.882267,38.78,11477177,62.05,11496283,-0.390472412,15.00497913,16:06
 16 32 16 8 16 16 8,112, 6 6 6 3 6 4 3,6,34, 32 32 32 32 32 32 32,224,32,7,27.8250618,39.44,11477396,64.52,11496502,-0.293194026,12.24302292,13:58
 32 8 32 32,104, 6 6 6 3,6,21, 32 32 32 32,128,32,4,27.75094223,38.6,11477156,52.99,11496262,-0.015446674,5.281863689,14:43
 32 8 32 32 8 16 16,144, 6 6 4 3 6 3 4,6,32, 32 32 32 32 32 32 32,224,32,7,27.19550705,41.78,11477158,63.85,11496264,-0.125049949,14.61236858,15:14
 32 16 16 8,72, 6 6 3 4,6,19, 32 32 32 32,128,32,4,27.02475166,42.95,11477183,46.82,11496289,-0.033297814,4.314357281,13:11
 32 16 8 16 16,88, 6 6 3 3 6,6,24, 32 32 32 32 32,160,32,5,26.97294044,37.98,11477307,50.98,11496413,-0.029537996,4.644897461,14:40
 8 16 32 32 8,96, 6 6 6 4 3,6,25, 32 32 32 32 32,160,32,5,26.36015129,38.05,11477143,55.69,11496249,-0.024235288,5.436712265,15:15
 8 32 32 8 16 16,112, 6 6 3 3 4 3,6,25, 32 32 32 32 32 32,192,32,6,26.32449722,42.8,11477367,59.56,11496473,-0.064036168,6.244937897,15:08
 16 16 32 8 8 16 8,104, 6 6 3 4 3 3 6,6,31, 32 32 32 32 32 32 32,224,32,7,26.05587196,40.03,11477131,60.7,11496237,-0.239834026,15.51152611,13:15
 32 32 8 8 32 16,128, 6 4 6 4 6 6,6,32, 32 32 32 32 32 32,192,32,6,25.67502594,39.87,11477457,62.1,11496563,-0.067021273,6.464869022,14:16
 8 8 16 32 8,72, 6 6 6 3 6,6,27, 32 32 32 32 32,160,32,5,25.63964653,39.54,11477272,53.05,11496378,-0.014632158,4.653111935,11:32
 8 16 32 32,88, 6 6 4 3,6,19, 32 32 32 32,128,32,4,25.60805702,37.85,11477531,49.85,11496637,-0.020477787,5.169775963,12:38
 8 8 16 16 32 8 16,104, 6 6 3 6 4 3 3,6,31, 32 32 32 32 32 32 32,224,32,7,24.80311012,39.15,11477340,63.34,11496446,-0.215276018,12.48752213,15:08
 8 8 8 8 8 32,72, 6 6 3 6 3 4,6,28, 32 32 32 32 32 32,192,32,6,24.65813828,39.27,11477157,59.82,11496263,-0.049745761,6.26255846,13:08
 32 32 32 16,112, 4 6 4 4,4,18, 32 32 32 32,128,32,4,24.25294876,42.62,11477456,50.34,11496562,-0.024794063,5.125441074,14:41
 32 32 8 32 16 16 8,144, 6 3 6 6 3 6 3,6,33, 32 32 32 32 32 32 32,224,32,7,24.1460228,39.5,11477471,62.71,11496577,-0.08586587,12.15760899,15:18
 32 16 8 16 16 8 32,128, 6 4 4 4 6 6 4,6,34, 32 32 32 32 32 32 32,224,32,7,24.00362396,37.95,11477465,64.25,11496571,-0.324368298,16.61998749,14:15
 32 16 32 16 8 16,120, 4 6 6 4 4 6,4,30, 32 32 32 32 32 32,192,32,6,23.90513992,41.63,11477126,59.41,11496232,-0.045339379,6.216618538,12:42
 32 16 32 32,112, 4 6 6 3,4,19, 32 32 32 32,128,32,4,23.81131172,38.59,11477165,54.01,11496271,-0.020032406,5.27541399,11:46
 32 8 16 16,72, 6 4 4 4,6,18, 32 32 32 32,128,32,4,23.50993729,41.11,11477136,49.29,11496242,-0.007312451,4.151834965,12:40
 16 16 8 8 32,80, 6 4 6 6 4,6,26, 32 32 32 32 32,160,32,5,23.49134064,38.11,11477105,55.65,11496211,-0.035753071,4.44841671,9:38
 16 16 16 16,64, 6 4 6 4,6,20, 32 32 32 32,128,32,4,23.43127441,39.26,11477283,47.62,11496389,-0.007863242,4.023855686,11:09
 16 16 8 8 32 32 8,120, 6 4 6 4 6 4 6,6,36, 32 32 32 32 32 32 32,224,32,7,23.4087162,40.55,11477149,63.82,11496255,-0.144086659,17.42341423,14:49
 32 8 8 32,80, 4 6 6 6,4,22, 32 32 32 32,128,32,4,23.18886948,39,11477060,48.49,11496166,-0.009417728,4.212207317,8:24
 32 16 32 8 32 16,136, 6 3 6 3 4 4,6,26, 32 32 32 32 32 32,192,32,6,23.17887306,41.93,11477427,63.19,11496533,-0.051164586,6.460356236,13:04
 8 16 32 16 8 16 8,104, 6 4 6 3 4 6 4,6,33, 32 32 32 32 32 32 32,224,32,7,22.89815903,41.6,11477366,65.97,11496472,-0.149623558,14.37871838,16:33
 16 8 32 16 32 16,120, 6 4 4 6 6 3,6,29, 32 32 32 32 32 32,192,32,6,22.74606705,42.36,11477528,62.84,11496634,-0.061096154,6.421788216,14:09
 32 16 32 32,112, 6 3 4 3,6,16, 32 32 32 32,128,32,4,22.5269146,37.83,11477058,53.36,11496164,-0.008666426,5.143665314,8:28
 16 32 8 32 16 8 16,128, 4 6 3 4 3 3 4,4,27, 32 32 32 32 32 32 32,224,32,7,22.44423294,39.61,11477507,59.95,11496613,-0.122034982,12.64773846,15:11
 32 8 8 16 16 16,96, 4 6 4 4 3 4,4,25, 32 32 32 32 32 32,192,32,6,22.43805695,39.26,11477440,59.69,11496546,-0.043329418,5.531308651,13:52
 16 8 32 32 8 8 16,120, 6 4 3 4 4 6 3,6,30, 32 32 32 32 32 32 32,224,32,7,22.30408478,38.62,11477539,60.42,11496645,-0.157606781,12.82022095,15:34
 16 32 8 32 16,104, 6 3 4 6 3,6,22, 32 32 32 32 32,160,32,5,22.27819824,38.2,11477180,53.83,11496286,-0.01786017,4.872120857,14:24
 8 32 8 16 32 8,104, 4 6 4 6 6 4,4,30, 32 32 32 32 32 32,192,32,6,22.20484543,39.12,11477097,55.66,11496203,-0.039791659,5.322898388,10:47
 32 16 16 16 32 16 16,144, 6 3 3 6 3 6 3,6,30, 32 32 32 32 32 32 32,224,32,7,22.19054604,39.33,11477261,65.07,11496367,-0.176299721,13.5104351,16:54
 16 8 32 16 16 8 16,112, 4 6 6 4 3 6 4,4,33, 32 32 32 32 32 32 32,224,32,7,22.16757965,39.31,11477241,60.06,11496347,-0.266456425,13.56315422,16:36
 32 32 32 32 16 32,176, 3 6 3 4 4 6,3,26, 32 32 32 32 32 32,192,32,6,22.03532028,42.03,11477315,65.84,11496421,-0.048228599,7.907422066,15:18
 16 32 16 16 16 16,112, 6 3 3 4 6 3,6,25, 32 32 32 32 32 32,192,32,6,21.93333054,42.46,11477138,59.81,11496244,-0.048042692,5.97863102,15:08
 8 8 8 32 16 8,80, 6 4 4 6 6 4,6,30, 32 32 32 32 32 32,192,32,6,21.6872921,38.61,11477252,58.42,11496358,-0.024725458,4.842161655,15:46
 8 8 8 16 32 16,88, 6 4 4 4 6 4,6,28, 32 32 32 32 32 32,192,32,6,21.53186226,38.92,11477181,63.58,11496287,-0.05057836,5.651230812,13:15
 16 32 8 8 8 16 16,104, 3 6 6 6 6 3 3,3,33, 32 32 32 32 32 32 32,224,32,7,21.48618889,42.41,11477107,63.36,11496213,-0.264297634,12.15458488,11:49
 8 8 32 16 16 32,112, 4 6 6 3 6 3,4,28, 32 32 32 32 32 32,192,32,6,21.43044662,41.94,11477099,64.54,11496205,-0.044716336,6.922996998,11:04
 8 32 8 8,56, 6 3 4 6,6,19, 32 32 32 32,128,32,4,21.4206543,42.5,11477356,45.67,11496462,-0.025567327,3.620626926,12:41
 16 8 16 16,56, 4 6 4 4,4,18, 32 32 32 32,128,32,4,21.23278236,41.28,11477282,50.33,11496388,-0.021264251,3.961266994,13:39
 32 8 16 32 8 32,128, 3 6 6 3 4 4,3,26, 32 32 32 32 32 32,192,32,6,21.15365219,40.72,11477498,64.76,11496604,-0.025725827,6.862264156,13:41
 16 16 32 32 16,112, 6 3 3 4 6,6,22, 32 32 32 32 32,160,32,5,21.11848831,38.81,11477375,57.7,11496481,-0.021012317,5.454042435,14:15
 32 32 32 32 16 16 32,192, 4 4 4 6 6 3 4,4,31, 32 32 32 32 32 32 32,224,32,7,21.11432266,39.3,11477350,69.47,11496456,-0.174091205,17.27732468,16:52
 16 32 32 32 8 32,152, 3 6 4 4 4 4,3,25, 32 32 32 32 32 32,192,32,6,21.09403038,40.98,11477463,65.85,11496569,-0.045193676,7.347816944,13:18
 16 8 32 16 32,104, 6 3 4 6 4,6,23, 32 32 32 32 32,160,32,5,21.02999306,38.47,11477120,57.63,11496226,-0.027961284,5.362660408,12:22
 8 16 32 32 16,104, 4 6 3 4 4,4,21, 32 32 32 32 32,160,32,5,21.00548553,38.26,11477337,56.62,11496443,-0.030748118,5.432842255,12:21
 32 16 16 16 8 32,120, 3 6 3 6 3 6,3,27, 32 32 32 32 32 32,192,32,6,20.8109436,40.64,11477298,61.09,11496404,-0.048111413,7.132833481,14:02
 32 16 8 32 16 16,120, 3 6 3 3 4 4,3,23, 32 32 32 32 32 32,192,32,6,20.57223129,39.63,11477331,61.38,11496437,-0.029753298,5.793021679,15:44
 16 8 32 16 32 8 8,120, 6 3 3 3 6 4 3,6,28, 32 32 32 32 32 32 32,224,32,7,20.54874802,38.83,11477061,62.67,11496167,-0.19723019,12.05527973,11:20
 16 32 8 32 8 8 8,112, 3 6 3 4 6 3 4,3,29, 32 32 32 32 32 32 32,224,32,7,20.4581337,39,11477389,63.47,11496495,-0.103139162,12.18079185,16:21
 32 8 32 16 8 32 32,160, 3 6 3 3 6 4 4,3,29, 32 32 32 32 32 32 32,224,32,7,20.39889908,41.53,11477275,63.41,11496381,-0.233587384,18.40552139,15:20
