mlp_ratio,sum_mlp_ratio,num_heads,one_layer_heads,sum_num_heads,embed_dim,sum_embed,one_layer_embed,layer_num,dss score,retrain accuracy50,resultfilename,retrain accuracy100,resultfilename2,grasp score,snip score,training time
 32 16 8 16 32 16,120, 6 3 6 4 6 3,6,28, 128 128 128 128 128 128,768,128,6,389.8710327,53.83,11477062,81.36,11496168,-0.249821067,68.56903839,13:06
 16 16 32 32 8,104, 6 4 3 6 3,6,22, 128 128 128 128 128,640,128,5,387.8299866,48.87,11477148,81.85,11496254,-0.421223402,60.24531174,16:46
 32 32 32 16 8,120, 3 6 4 6 6,3,25, 128 128 128 128 128,640,128,5,387.3869324,40.77,11477504,82.04,11496610,-0.353183717,60.48303604,14:49
 32 8 8 32 32 16,128, 6 4 4 4 6 6,6,30, 128 128 128 128 128 128,768,128,6,386.6878357,54.96,11477065,82.08,11496171,-0.293759912,69.79875183,13:35
 16 16 8 16 8,64, 6 4 4 6 3,6,23, 128 128 128 128 128,640,128,5,384.8816833,49.69,11477195,78.91,11496301,-0.310015351,46.29639435,18:02
 8 32 32 8,80, 6 4 3 6,6,19, 128 128 128 128,512,128,4,380.8574829,40.18,11477104,77,11496210,-0.341448396,50.29486084,10:22
 32 32 32 8 16 8,128, 3 6 3 4 6 4,3,26, 128 128 128 128 128 128,768,128,6,380.4033508,45.37,11477447,81.45,11496553,-0.311516404,65.81291199,15:41
 16 32 8 32 16,104, 6 3 4 4 6,6,23, 128 128 128 128 128,640,128,5,380.1932373,50.4,11477342,81.25,11496448,-0.325083435,56.61804962,15:54
 32 8 16 32 32,120, 4 6 4 4 4,4,22, 128 128 128 128 128,640,128,5,379.239563,46.75,11477124,79.72,11496230,-0.441483229,61.87720871,13:55
 32 32 32 16 32 8 32,184, 4 4 6 3 6 6 4,4,33, 128 128 128 128 128 128 128,896,128,7,377.0406189,41.56,11477173,82.05,11496279,-4.138905525,175.6650696,20:03
 16 8 32 16 16 32 8,128, 6 4 4 6 3 3 6,6,32, 128 128 128 128 128 128 128,896,128,7,374.8458557,47.6,11477459,82.4,11496565,-2.678070068,128.3667755,20:29
 16 16 8 16 32 8,96, 6 3 6 3 3 6,6,27, 128 128 128 128 128 128,768,128,6,369.645874,57.41,11477280,81.13,11496386,-0.320605338,59.6930275,17:35
