mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename,grasp score,snip score,training time,OA, AA, Kappa,Params,FLOPS
32 32 32 32 16 32,176,3 6 3 4 4 6,26,32 32 32 32 32 32,192,6,22.03532028,66.03,config_11728700,-0.048228599,7.907422066,18:41,0.6604,0.7566,0.6227,680848,5729861632
8 16 8 8 16,56,4 3 6 6 4,23,64 64 64 64 64,320,5,73.62585449,73.02,config_11728701,-0.046165213,11.55263424,15:29,0.7302,0.8127,0.6959,985104,5377982464
32 16 16 32,96,6 3 4 3,16,64 64 64 64,256,4,99.11968994,70.32,config_11728702,-0.111894071,16.12488937,15:42,0.7033,0.7816,0.6639,1215504,4732059648
32 32 16 32 32 32,176,4 4 3 3 4 3,21,128 128 128 128 128 128,768,6,358.1896667,83.48,config_11728703,-0.350479186,78.35005188,18:53,0.8348,0.8937,0.8118,5712144,11510939648
32 8 32 16 16,104,3 6 3 6 4,22,128 128 128 128 128,640,5,346.4724731,80.83,config_11728704,-0.385138214,57.53508377,13:52,0.8083,0.8703,0.7826,3934608,8742699008
8 8 8 16 32,72,4 3 3 4 4,18,32 32 32 32 32,160,5,15.05523014,54.3,config_11728705,-0.02466986,4.160204887,23:31,0.5431,0.6827,0.4903,414032,4618371072
32 8 8 16 8 32,104,3 3 6 6 6 3,27,196 196 196 196 196 196,1176,6,624.7199097,83.65,config_11728706,-1.186134338,127.4172897,22:25,0.8365,0.8918,0.8134,7363008,13659101184
32 32 16 32 32 16,160,3 3 6 3 6 6,27,64 64 64 64 64 64,384,6,82.84465027,78.9,config_11728707,-0.103230849,22.70176697,22:07,0.789,0.8578,0.7616,1943568,7231864832
32 32 8 8 8 8 32,128,6 6 3 6 3 6 6,36,64 64 64 64 64 64 64,448,7,121.9673843,78.93,config_11728708,-1.776940942,64.94719696,11:38,0.7893,0.8599,0.7623,1779216,7944896512
8 16 8 16,48,6 4 6 4,20,196 196 196 196,784,4,906.0585938,76.85,config_11728709,-1.149475694,98.52521515,15:03,0.7687,0.8205,0.734,4932720,9106970624
32 8 8 16,64,3 4 4 4,15,196 196 196 196,784,4,657.2879028,77.42,config_11728710,-1.125965238,98.93449402,22:34,0.7742,0.8518,0.7434,4932720,9106970624
8 16 32 8 8 8 32,112,6 3 3 6 3 4 4,29,32 32 32 32 32 32 32,224,7,20.39107704,57.72,config_11728711,-0.417451024,16.32008743,15:11,0.5771,0.7492,0.5284,598224,6489030656
16 32 32 32 8 32,152,4 6 6 6 6 4,32,64 64 64 64 64 64,384,6,104.7815323,78.95,config_11728712,-0.128878802,24.85786247,19:42,0.7895,0.8501,0.7623,1877520,7164755968
8 16 32 32 16 8,112,6 4 4 3 4 3,24,196 196 196 196 196 196,1176,6,893.4425659,83.22,config_11728713,-0.88958025,134.705368,15:41,0.8322,0.8939,0.8091,7954080,14262818816
16 32 16 8,72,6 4 6 6,22,196 196 196 196,784,4,985.2008667,78.26,config_11728714,-0.882110417,102.4157181,15:22,0.7825,0.8518,0.7529,5523792,9710688256
32 32 32 32 8 8 8,152,4 3 4 6 4 3 4,28,196 196 196 196 196 196 196,1372,7,734.0402832,83.1,config_11728715,-6.838650703,285.8404846,14:44,0.831,0.8932,0.8074,8873688,16237025280
32 16 8 32 16 16,120,3 6 3 3 4 4,23,32 32 32 32 32 32,192,6,20.57223129,61.38,config_11728716,-0.029753298,5.793021679,21:48,0.6138,0.7426,0.5727,564368,5612421120
16 16 16 32,80,6 3 4 4,17,64 64 64 64,256,4,91.1566925,73.99,config_11728717,-0.099591255,15.28566074,23:17,0.7399,0.7886,0.7067,1083408,4597841920
8 16 32 16,72,4 3 6 4,17,196 196 196 196,784,4,688.4658813,79.98,config_11728718,-1.114517927,111.2809219,16:35,0.7998,0.8597,0.7726,5523792,9710688256
16 16 32 8 8 32 16,128,3 3 3 6 6 4 6,31,196 196 196 196 196 196 196,1372,7,647.9768066,84.24,config_11728719,-7.881724358,345.4495239,12:54,0.8425,0.8975,0.8205,9464760,16840742912
16 32 32 8 16,104,3 6 4 6 3,22,128 128 128 128 128,640,5,367.9452209,79.61,config_11728720,-0.416593939,59.58119202,13:34,0.7962,0.8433,0.7681,3934608,8742699008
32 8 32 32 32 16,152,3 3 3 3 4 4,20,196 196 196 196 196 196,1176,6,591.1641235,83.99,config_11728721,-0.904050231,143.5764008,11:15,0.8399,0.8995,0.8174,8545152,14866536448
8 16 32 32 16,104,4 6 3 4 4,21,32 32 32 32 32,160,5,21.00548553,56.42,config_11728722,-0.030748118,5.432842255,14:41,0.5641,0.7061,0.5143,480592,4685479936
8 8 16 32,64,3 4 6 3,16,128 128 128 128,512,4,261.135437,78.48,config_11728723,-0.339576781,46.56708145,22:36,0.7848,0.8509,0.7559,2683408,6511329280
8 32 32 16,88,6 3 3 3,15,64 64 64 64,256,4,92.53717804,71.23,config_11728724,-0.124853596,16.56297874,23:06,0.7123,0.7714,0.6722,1149456,4664950784
8 8 16 16 32 8 16,104,6 6 3 6 4 3 3,31,32 32 32 32 32 32 32,224,7,24.80311012,63.34,config_11728725,-0.215276018,12.48752213,20:45,0.6335,0.7505,0.59,581584,6472253440
8 32 16 8 16 32,112,4 3 4 6 6 6,29,128 128 128 128 128 128,768,6,296.0595398,82.02,config_11728726,-0.403128713,69.06991577,13:19,0.8201,0.8831,0.795,4396304,10168762368
16 32 8 32 16,104,6 3 4 4 6,23,128 128 128 128 128,640,5,380.1932373,81.25,config_11728727,-0.325083435,56.61804962,10:44,0.8125,0.8655,0.7865,3934608,8742699008
32 32 16 32 32 16 16,176,4 3 3 3 4 4 6,27,32 32 32 32 32 32 32,224,7,18.70319557,61.23,config_11728728,-0.146334469,15.44991207,21:05,0.612,0.7478,0.5683,731344,6623248384
16 32 32 16 32 8,136,3 3 4 6 6 3,25,64 64 64 64 64 64,384,6,74.37007141,79.04,config_11728729,-0.105968133,20.97811699,16:24,0.7904,0.8472,0.7636,1745424,7030538240
32 32 16 32 8 8 16,144,4 4 4 4 3 3 6,28,64 64 64 64 64 64 64,448,7,95.40988922,77.2,config_11728730,-1.033665895,55.35079956,15:34,0.772,0.8568,0.7434,1911312,8079114240
16 8 32 8,64,6 6 6 6,24,196 196 196 196,784,4,1064.262695,79.15,config_11728731,-0.794475675,94.2808609,13:18,0.7915,0.8514,0.7621,4932720,9106970624
8 8 16 8 32 16,88,6 6 4 6 3 3,28,128 128 128 128 128 128,768,6,401.8598022,80.23,config_11728732,-0.421113044,62.78904724,12:21,0.8023,0.8728,0.7749,3869968,9631891456
16 32 32 32 16 8 8,144,3 4 4 6 4 4 6,31,64 64 64 64 64 64 64,448,7,81.443573,80.31,config_11728733,-0.854012847,46.97289276,12:06,0.8031,0.8597,0.7772,1911312,8079114240
16 16 32 8 32 16,120,6 4 6 4 3 4,27,196 196 196 196 196 196,1176,6,983.6149902,82.71,config_11728734,-0.871295989,138.2590637,15:42,0.8271,0.8885,0.8038,8545152,14866536448
32 32 32 32 16 16 32,192,4 4 4 6 6 3 4,31,32 32 32 32 32 32 32,224,7,21.11432266,69.47,config_11728735,-0.174091205,17.27732468,13:53,0.6948,0.7883,0.6585,764624,6656802816
16 16 16 8 32 8 16,112,3 4 3 6 4 3 3,26,196 196 196 196 196 196 196,1372,7,712.8532715,84.02,config_11728736,-9.621406555,321.4356689,12:42,0.8402,0.8946,0.818,9464760,16840742912
8 8 32 8,56,3 6 3 3,15,196 196 196 196,784,4,728.1269531,79.01,config_11728737,-0.666603267,86.6824646,15:29,0.79,0.8657,0.7621,4341648,8503252992
8 16 16 16 16 32 8,112,3 4 3 3 6 3 4,26,128 128 128 128 128 128 128,896,7,262.5857239,82.77,config_11728738,-2.515128613,121.7160797,19:44,0.8278,0.8809,0.8031,4858000,11594825728
16 16 8 32 16 16,104,4 3 3 6 6 4,26,64 64 64 64 64 64,384,6,73.93251038,78.87,config_11728739,-0.061922476,18.56690407,16:00,0.7889,0.8345,0.7601,1481232,6762102784
32 16 32 8 16 8 16,128,3 3 3 4 3 4 4,24,32 32 32 32 32 32 32,224,7,15.78639793,59.02,config_11728740,-0.262055427,13.19144249,20:13,0.5902,0.7365,0.5447,631504,6522585088
8 32 8 8,56,6 3 4 6,19,32 32 32 32,128,4,21.4206543,45.69,config_11728741,-0.025567327,3.620626926,15:19,0.4567,0.5817,0.3914,330256,3691429888
8 32 32 8 8,88,3 6 3 6 6,24,32 32 32 32 32,160,5,20.15203285,54.19,config_11728742,-0.03274196,4.856616974,17:53,0.542,0.6852,0.4894,447312,4651925504
8 16 16 8 8,56,4 6 4 6 6,26,64 64 64 64 64,320,5,91.6239624,74.9,config_11728743,-0.064510182,12.08158875,13:58,0.749,0.7889,0.715,985104,5377982464
8 16 32 16,72,6 3 3 6,18,32 32 32 32,128,4,20.36619759,48.5,config_11728744,-0.009626143,4.399439335,16:02,0.485,0.6248,0.4238,363536,3724984320
8 32 16 16 32,104,4 6 6 6 6,28,196 196 196 196 196,980,5,898.2393799,80.93,config_11728745,-0.890905857,124.2735596,12:38,0.8093,0.8669,0.7827,7034472,12288612352
8 32 32 8 8 32,120,4 4 6 4 4 6,28,128 128 128 128 128 128,768,6,333.6151733,82.3,config_11728746,-0.357552469,67.50510406,13:16,0.823,0.8825,0.7982,4396304,10168762368
8 8 8 16,40,6 6 6 3,21,64 64 64 64,256,4,106.3985748,73.39,config_11728747,-0.024472393,10.78087044,19:37,0.7341,0.7864,0.6983,753168,4262297600
8 16 32 16 32,104,3 4 4 3 3,17,64 64 64 64 64,320,5,71.06304932,77.93,config_11728748,-0.08924982,17.32039452,20:42,0.7793,0.8535,0.7507,1381392,5780635648
32 16 8 32 8 32,128,4 3 6 4 4 3,24,32 32 32 32 32 32,192,6,18.53994942,62.08,config_11728749,-0.031234359,6.450242996,15:34,0.6209,0.7332,0.5764,581008,5629198336
16 16 8 16 16,72,6 4 3 6 4,23,64 64 64 64 64,320,5,96.7702179,75.82,config_11728750,-0.045383573,14.31290817,18:00,0.7582,0.8036,0.7261,1117200,5512200192
8 16 32 16 8 16 8,104,6 4 6 3 4 6 4,33,32 32 32 32 32 32 32,224,7,22.89815903,65.97,config_11728751,-0.149623558,14.37871838,13:07,0.6597,0.768,0.617,581584,6472253440
8 32 32 8 16 16,112,6 6 3 3 4 3,25,32 32 32 32 32 32,192,6,26.32449722,59.03,config_11728752,-0.064036168,6.244937897,15:17,0.5905,0.7029,0.5434,547728,5595643904
16 32 32 8 16 8 8,120,6 3 4 3 4 3 6,29,64 64 64 64 64 64 64,448,7,97.58331299,80.03,config_11728753,-0.650947094,44.78807068,14:39,0.8003,0.8496,0.7736,1713168,7877787648
32 32 8 16,88,6 6 4 6,22,128 128 128 128,512,4,475.302948,77.81,config_11728754,-0.440708041,50.34083557,11:53,0.7783,0.8516,0.7488,3209744,7048200192
16 8 8 16 16 8,72,4 3 6 6 6 6,31,196 196 196 196 196 196,1176,6,697.7301636,82.45,config_11728755,-1.172804952,126.7568665,12:40,0.8247,0.8892,0.8004,7363008,13659101184
32 8 32 32,104,4 4 4 3,15,64 64 64 64,256,4,88.32396698,71.95,config_11728756,-0.154885709,17.50452995,17:45,0.7196,0.8044,0.6837,1281552,4799168512
16 16 32 32 32 32 8,168,4 3 6 3 6 3 4,29,64 64 64 64 64 64 64,448,7,79.18592834,79.17,config_11728757,-0.457621694,42.38035202,15:33,0.7917,0.8606,0.7638,2109456,8280440832
8 16 8 16,48,4 6 6 4,20,128 128 128 128,512,4,361.0839233,75.76,config_11728758,-0.397218645,40.78261185,16:58,0.7578,0.8324,0.7257,2420240,6242893824
16 16 8 16 32 16 16,120,4 6 4 4 6 6 3,33,196 196 196 196 196 196 196,1372,7,914.1304321,84.54,config_11728759,-8.178283691,330.7007141,21:26,0.8454,0.9031,0.8239,10055832,17444460544
16 16 32 32 16,112,6 3 3 4 6,22,32 32 32 32 32,160,5,21.11848831,57.46,config_11728760,-0.021012317,5.454042435,10:52,0.5744,0.7137,0.5273,497232,4702257152
32 8 8 16 32 16,112,6 4 6 4 6 4,30,196 196 196 196 196 196,1176,6,924.6741333,83.31,config_11728761,-1.16749692,136.8837891,17:20,0.8331,0.8952,0.8102,7954080,14262818816
32 8 32 16 8,96,4 4 3 3 3,17,64 64 64 64 64,320,5,87.02272034,74.75,config_11728762,-0.106664255,15.96154213,13:46,0.7475,0.8031,0.7137,1315344,5713526784
32 8 16 16 16 32 8,128,4 4 4 4 6 6 6,34,64 64 64 64 64 64 64,448,7,87.33538818,77.31,config_11728763,-0.463992923,43.26917648,16:39,0.7731,0.8647,0.7446,1779216,7944896512
16 32 16 16,80,6 6 6 3,21,128 128 128 128,512,4,470.3066406,79.09,config_11728764,-0.445768088,51.29885483,19:12,0.7911,0.8488,0.7628,3209744,7048200192
32 8 8 8 16,72,3 3 3 4 4,17,32 32 32 32 32,160,5,14.94995308,49.44,config_11728765,-0.028139891,3.856764793,19:47,0.4947,0.6411,0.4345,414032,4618371072
8 32 16 32,88,3 6 4 3,16,128 128 128 128,512,4,339.6640625,78.63,config_11728766,-0.409119785,51.95663834,19:53,0.7863,0.8406,0.7571,3209744,7048200192
8 16 16 8 16 8,72,3 6 6 3 4 6,28,128 128 128 128 128 128,768,6,332.4102173,80.85,config_11728767,-0.390187383,56.22564697,20:55,0.8085,0.8668,0.7824,3606800,9363456000
8 8 32 16 16 16,96,6 3 3 4 4 4,24,196 196 196 196 196 196,1176,6,766.010376,82.72,config_11728768,-0.867174208,138.1670227,11:30,0.8272,0.9023,0.8038,7954080,14262818816
16 8 16 8 16 32 8,104,4 3 3 4 4 4 4,26,196 196 196 196 196 196 196,1372,7,664.2838745,84.25,config_11728769,-6.830670357,265.5927124,14:53,0.8425,0.8999,0.8207,8873688,16237025280
8 8 16 8 32 16,88,3 4 3 3 6 6,25,196 196 196 196 196 196,1176,6,597.3220215,83.57,config_11728770,-0.764831901,128.8022003,23:13,0.8357,0.896,0.8126,7363008,13659101184
8 8 32 16 8 16,88,4 6 6 3 3 4,26,128 128 128 128 128 128,768,6,350.9819336,81.43,config_11728771,-0.413102478,60.17396545,14:54,0.8143,0.8742,0.7893,3869968,9631891456
16 16 8 8 32 32,112,4 6 3 3 6 3,25,196 196 196 196 196 196,1176,6,897.6972656,82.49,config_11728772,-1.136879206,131.1990967,14:44,0.8249,0.8888,0.8009,7954080,14262818816
8 32 32 16 32,120,3 3 4 6 3,19,196 196 196 196 196,980,5,598.4989014,81.46,config_11728773,-0.878731728,122.1653976,10:40,0.8146,0.8646,0.7883,7034472,12288612352
16 32 8 32 8 8 8,112,3 6 3 4 6 3 4,29,32 32 32 32 32 32 32,224,7,20.4581337,63.47,config_11728774,-0.103139162,12.18079185,10:33,0.6347,0.7505,0.594,598224,6489030656
8 32 16 16,72,3 6 4 6,19,128 128 128 128,512,4,342.0690613,76.76,config_11728775,-0.434523463,48.80760193,19:31,0.7676,0.8381,0.737,2946576,6779764736
32 8 32 16 16 8,112,3 6 3 3 6 6,27,128 128 128 128 128 128,768,6,344.1239014,82.45,config_11728776,-0.310178339,62.66900253,16:24,0.8245,0.8877,0.8005,4396304,10168762368
32 8 16 32 16 16 16,136,3 3 4 3 4 3 3,23,32 32 32 32 32 32 32,224,7,15.38386631,66.38,config_11728777,-0.103567608,12.28287029,20:01,0.6637,0.7408,0.6203,648144,6539362304
16 16 8 16 8,64,3 4 3 3 3,16,128 128 128 128 128,640,5,280.5588684,80.67,config_11728778,-0.274497122,45.0959549,20:52,0.8067,0.8617,0.7804,3145104,7937392640
16 32 32 16 32 32 16,176,4 3 6 6 6 3 4,32,64 64 64 64 64 64 64,448,7,85.29917908,77.38,config_11728779,-0.803977609,52.95364761,25:36:00,0.7739,0.8495,0.7451,2175504,8347549696
16 16 8 8,48,3 4 6 6,19,196 196 196 196,784,4,735.9552002,75.89,config_11728780,-1.069308519,90.60665131,16:49,0.7589,0.8408,0.7263,4932720,9106970624
16 32 16 8 16 16 8,112,6 6 6 3 6 4 3,34,32 32 32 32 32 32 32,224,7,27.8250618,64.32,config_11728781,-0.293194026,12.24302292,13:40,0.6432,0.7559,0.6024,598224,6489030656
32 8 8 8,56,3 4 4 6,17,64 64 64 64,256,4,78.24028015,70.93,config_11728782,-0.034927092,10.12568951,21:07,0.7096,0.7957,0.6716,885264,4396515328
32 8 8 32,80,3 4 4 6,17,128 128 128 128,512,4,291.7863464,78.06,config_11728783,-0.429489166,48.03504944,15:06,0.7806,0.8522,0.7514,2946576,6779764736
8 16 32 8 32 32 8,136,6 3 4 6 3 4 3,29,64 64 64 64 64 64 64,448,7,89.43914032,80.96,config_11728784,-0.416042835,38.97322083,14:36,0.8097,0.8861,0.7847,1845264,8012005376
32 32 8 16,88,4 4 4 4,16,196 196 196 196,784,4,780.8427734,79.52,config_11728785,-1.304337502,105.3015137,24:37:00,0.7952,0.8539,0.7658,5523792,9710688256
16 16 32 16 16 32 16,144,4 6 4 4 4 6 3,31,64 64 64 64 64 64 64,448,7,96.21665192,77.78,config_11728786,-0.798248768,46.42260361,15:52,0.7778,0.863,0.7498,1911312,8079114240
16 16 16 32 32 32 8,152,3 4 3 3 6 3 3,25,128 128 128 128 128 128 128,896,7,286.2036133,82.92,config_11728787,-2.26480341,119.6311188,13:03,0.8292,0.8845,0.8053,5647504,12400132096
32 8 32 16 8,96,4 3 4 3 3,17,32 32 32 32 32,160,5,17.58952522,50.97,config_11728788,-0.016412204,4.657853127,13:44,0.5097,0.672,0.4513,463952,4668702720
32 32 8 32,104,6 3 6 3,18,64 64 64 64,256,4,106.2642288,70.82,config_11728789,-0.108645357,16.64096069,15:07,0.7083,0.8066,0.6738,1281552,4799168512
32 16 16 8 8,80,4 4 3 4 6,21,64 64 64 64 64,320,5,88.69538116,75.19,config_11728790,-0.063218519,13.12110233,15:26,0.7519,0.7992,0.7187,1183248,5579309056
32 32 16 32 16,128,3 3 4 3 6,19,64 64 64 64 64,320,5,80.10500336,75.59,config_11728791,-0.122359864,18.19062042,12:36,0.7559,0.835,0.7249,1579536,5981962240
8 32 16 16 32,104,4 3 4 6 4,21,32 32 32 32 32,160,5,17.20748901,52.95,config_11728792,-0.024469946,4.978100777,20:49,0.5295,0.6786,0.4742,480592,4685479936
16 8 8 8,40,4 4 3 4,15,196 196 196 196,784,4,715.4735718,73.8,config_11728793,-0.883920491,80.80864716,17:44,0.738,0.8262,0.7029,4341648,8503252992
16 8 16 32,72,4 4 3 4,15,32 32 32 32,128,4,17.53419304,50.97,config_11728794,-0.013101224,4.13199091,19:03,0.5098,0.63,0.4545,363536,3724984320
16 8 8 32 16 16,96,3 6 6 3 3 6,27,128 128 128 128 128 128,768,6,333.9430847,81.59,config_11728795,-0.420060456,62.67720413,9:58,0.8158,0.8761,0.7907,4133136,9900326912
32 8 16 16 16 16 8,112,4 3 4 3 3 4 4,25,128 128 128 128 128 128 128,896,7,301.8607788,82.64,config_11728796,-2.903180599,121.5916443,17:18,0.8264,0.8652,0.8015,4858000,11594825728
16 16 8 32 16,88,3 4 3 4 3,17,64 64 64 64 64,320,5,71.90010071,76.62,config_11728797,-0.050490558,15.22147846,24:57:00,0.7663,0.82,0.735,1249296,5646417920
16 32 16 32,96,6 3 4 4,17,64 64 64 64,256,4,96.47000885,72.51,config_11728798,-0.114231415,16.727211,19:39,0.7252,0.7779,0.6866,1215504,4732059648
32 8 8 8 8 8,72,3 4 6 6 3 3,25,196 196 196 196 196 196,1176,6,687.3567505,83.06,config_11728799,-0.843764365,106.7118073,15:57,0.8306,0.885,0.8069,6180864,12451665920
16 16 32 16 16 32,128,6 3 4 4 4 3,24,196 196 196 196 196 196,1176,6,897.0406494,85.19,config_11728800,-0.938155413,149.2558136,22:05,0.8519,0.9063,0.8308,9136224,15470254080
32 32 32 16,112,6 4 3 6,19,128 128 128 128,512,4,425.3329468,78.87,config_11728801,-0.376131564,57.51059341,23:56,0.7887,0.8501,0.7596,3736080,7585071104
8 8 32 32 16 8,104,3 4 6 4 3 4,24,128 128 128 128 128 128,768,6,266.3239441,79.39,config_11728802,-0.32425797,61.91035461,19:46,0.7939,0.8704,0.766,4133136,9900326912
16 8 32 8 8,72,4 4 3 3 6,20,64 64 64 64 64,320,5,78.93691254,76.11,config_11728803,-0.080055408,13.50674152,10:53,0.761,0.8059,0.7297,1117200,5512200192
8 16 32 16,72,6 6 6 3,21,64 64 64 64,256,4,111.0808716,72,config_11728804,-0.112114958,15.25334072,16:07,0.72,0.7973,0.6831,1017360,4530733056
32 32 32 8 16,120,4 3 6 3 4,20,32 32 32 32 32,160,5,19.80483627,56.3,config_11728805,-0.024246003,5.064551353,19:53,0.5628,0.7067,0.5136,513872,4719034368
32 8 32 8,80,3 4 6 3,16,128 128 128 128,512,4,305.9974365,75.41,config_11728806,-0.382171661,44.97859955,15:20,0.7541,0.8075,0.7212,2946576,6779764736
8 16 32 8,64,6 4 6 4,20,64 64 64 64,256,4,98.44231415,72.74,config_11728807,-0.088318318,13.50826836,19:40,0.7274,0.8065,0.6926,951312,4463624192
8 32 16 16 8 16,96,4 4 3 4 6 3,24,128 128 128 128 128 128,768,6,315.3114014,81.07,config_11728808,-0.429624856,62.58784485,12:28,0.8106,0.883,0.7848,4133136,9900326912
32 8 32 32,104,4 3 4 3,14,196 196 196 196,784,4,672.6733398,79.68,config_11728809,-0.981156945,111.2644958,13:41,0.7968,0.8538,0.7686,5523792,9710688256
16 8 8 32 32 16 32,144,3 6 3 6 3 3 3,27,196 196 196 196 196 196 196,1372,7,781.1760864,83.85,config_11728810,-6.473751068,315.3934326,26:12:00,0.8385,0.8984,0.8157,9464760,16840742912
32 8 32 8 32 32 8,152,3 3 4 4 4 3 4,25,32 32 32 32 32 32 32,224,7,15.62214851,70.53,config_11728811,-0.135277748,15.14563179,15:44,0.7052,0.7764,0.6681,681424,6572916736
32 16 32 8 32 16,136,6 3 6 3 4 4,26,32 32 32 32 32 32,192,6,23.17887306,63.19,config_11728812,-0.051164586,6.460356236,23:27,0.6319,0.7574,0.5893,597648,5645975552
16 16 32 8 32,104,3 3 3 3 3,15,128 128 128 128 128,640,5,262.6568909,80.28,config_11728813,-0.486239344,57.83140182,12:28,0.8029,0.8717,0.7761,3934608,8742699008
16 32 16 8 8 32,112,6 4 4 3 4 3,24,196 196 196 196 196 196,1176,6,956.2581787,84.02,config_11728814,-0.763468504,129.7485046,17:25,0.8402,0.8917,0.818,7954080,14262818816
16 8 16 16 8,64,6 6 4 6 6,28,128 128 128 128 128,640,5,425.0600586,79.11,config_11728815,-0.482799232,49.27127838,19:42,0.7911,0.8647,0.7632,3145104,7937392640
32 32 32 8,104,3 6 4 4,17,64 64 64 64,256,4,100.3885803,71.29,config_11728816,-0.110194117,16.16571236,15:22,0.7127,0.791,0.6757,1281552,4799168512
32 8 8 8,56,4 3 4 3,14,64 64 64 64,256,4,78.86551666,68.7,config_11728817,-0.039827608,9.81295681,17:31,0.687,0.772,0.6473,885264,4396515328
32 16 16 8 16,88,3 3 6 3 6,21,196 196 196 196 196,980,5,678.2398071,80.14,config_11728818,-0.887931526,114.6129456,12:06,0.8014,0.8706,0.7743,7034472,12288612352
16 8 8 32 16 8,88,4 6 3 6 4 4,27,128 128 128 128 128 128,768,6,353.3907776,79.38,config_11728819,-0.431476295,57.02257538,16:57,0.7938,0.8659,0.7666,3869968,9631891456
8 16 32 8 16 16,96,3 4 3 3 3 3,19,196 196 196 196 196 196,1176,6,646.7302246,83.03,config_11728820,-0.793722808,132.3882446,18:05,0.8303,0.8901,0.8067,7954080,14262818816
32 16 32 8,88,4 4 3 6,17,32 32 32 32,128,4,19.55435371,49.41,config_11728821,-0.022167733,4.263225079,18:47,0.494,0.6361,0.4368,396816,3758538752
32 8 16 32 8 32 16,144,6 3 3 6 4 6 6,34,128 128 128 128 128 128 128,896,7,363.6126709,82.59,config_11728822,-3.598969698,155.266861,18:17,0.8259,0.8833,0.802,5384336,12131696640
8 8 16 32 32,96,4 3 4 4 3,18,64 64 64 64 64,320,5,68.39457703,75.79,config_11728823,-0.109921604,16.1176548,12:47,0.7581,0.8197,0.7231,1315344,5713526784
16 8 16 16,56,4 4 3 3,14,196 196 196 196,784,4,725.9432373,78.75,config_11728824,-0.999578953,111.638649,11:45,0.7877,0.8525,0.7587,5523792,9710688256
32 8 8 16 16 16,96,4 6 4 4 3 4,25,32 32 32 32 32 32,192,6,22.43805695,59.7,config_11728825,-0.043329418,5.531308651,17:30,0.5968,0.7029,0.5519,514448,5562089472
32 8 16 32 8 8 8,112,4 3 4 6 3 4 6,30,128 128 128 128 128 128 128,896,7,305.2614136,81.62,config_11728826,-3.320988417,125.477211,19:15,0.8162,0.8672,0.791,4594832,11326390272
32 8 16 32,88,4 6 4 3,17,64 64 64 64,256,4,99.56821442,69.25,config_11728827,-0.103925243,15.26595592,14:19,0.6925,0.7768,0.655,1149456,4664950784
32 32 8 8 32,112,6 3 4 4 4,21,64 64 64 64 64,320,5,103.8760376,73.23,config_11728828,-0.091240644,16.75438499,11:24,0.7323,0.8081,0.6984,1447440,5847744512
8 32 32 8 16 8 32,136,3 4 3 3 6 4 6,29,64 64 64 64 64 64 64,448,7,75.55340576,80.78,config_11728829,-1.786077976,67.85003662,12:58,0.8078,0.8749,0.7828,1845264,8012005376
32 32 32 8,104,6 6 4 6,22,196 196 196 196,784,4,1091.773315,78.15,config_11728830,-0.759630263,102.1235962,18:26,0.7815,0.8447,0.7513,5523792,9710688256
16 32 8 8 8 32,104,4 4 6 6 4 3,27,128 128 128 128 128 128,768,6,351.9916687,82.11,config_11728831,-0.302407891,59.62013245,11:41,0.8211,0.8793,0.7963,4133136,9900326912
32 32 32 8 16 8,128,3 6 3 4 6 4,26,128 128 128 128 128 128,768,6,380.4033508,81.45,config_11728832,-0.311516404,65.81291199,10:12,0.8145,0.8774,0.7886,4659472,10437197824
16 8 16 32 16 32,120,3 4 6 4 4 6,27,196 196 196 196 196 196,1176,6,696.8978882,83.97,config_11728833,-0.895575762,146.1231537,13:20,0.8397,0.9029,0.8174,8545152,14866536448
8 16 32 32 32,120,4 4 6 3 6,23,32 32 32 32 32,160,5,18.52054405,60.89,config_11728834,-0.035022445,5.669694424,25:25:00,0.6087,0.7096,0.5646,513872,4719034368
8 16 8 8 8 8,56,6 6 4 3 6 4,29,64 64 64 64 64 64,384,6,106.4417419,74.67,config_11728835,-0.061374448,13.66400242,15:16,0.7467,0.8032,0.7145,1084944,6359449600
8 32 16 16,72,6 6 6 6,24,128 128 128 128,512,4,448.6390381,78.3,config_11728836,-0.451436579,49.6057663,23:17,0.7829,0.8406,0.7534,2946576,6779764736
8 16 16 32,72,4 3 3 6,16,196 196 196 196,784,4,656.2852783,79.57,config_11728837,-0.989147007,110.6452179,11:36,0.7957,0.8591,0.7683,5523792,9710688256
8 8 8 32,56,6 3 3 4,16,32 32 32 32,128,4,19.46990967,46.9,config_11728838,-0.008087119,3.73704648,16:47,0.469,0.5972,0.4017,330256,3691429888
8 16 16 16 32,88,4 6 6 6 4,26,196 196 196 196 196,980,5,897.3970337,80.48,config_11728839,-0.895082474,124.1619034,15:52,0.8049,0.8639,0.7775,7034472,12288612352
8 8 32 8,56,3 3 3 3,12,32 32 32 32,128,4,13.18461132,49.76,config_11728840,-0.019274421,3.73739171,23:32,0.4973,0.6248,0.438,330256,3691429888
32 32 32 16,112,4 6 4 4,18,32 32 32 32,128,4,24.25294876,50.34,config_11728841,-0.024794063,5.125441074,17:34,0.5031,0.6345,0.4473,446736,3808870400
32 32 8 8 32 16,128,6 4 6 4 6 6,32,32 32 32 32 32 32,192,6,25.67502594,62.17,config_11728842,-0.067021273,6.464869022,16:29,0.6218,0.7185,0.5805,581008,5629198336
