mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename,grasp score,snip score,training time,OA, AA, Kappa,Params,FLOPS
8 8 16 8 32 16 32,120,4 4 4 6 3 3 4,28,128 128 128 128 128 128 128,896,7,285.7379761,82.96,config_11728601,-4.047736168,152.9916992,15:07,0.8296,0.8862,0.8061,4858000,11594825728
8 32 32 16 32 16 16,152,4 4 4 6 4 3 4,29,128 128 128 128 128 128 128,896,7,325.1214905,81.8,config_11728602,-3.748102188,158.9983521,12:06,0.818,0.8779,0.7925,5647504,12400132096
16 8 16 8,48,6 3 4 4,17,64 64 64 64,256,4,87.96665955,67.96,config_11728603,-0.049774751,10.52810001,12:05,0.6796,0.767,0.6382,819216,4329406464
32 16 16 16,80,6 4 6 6,22,64 64 64 64,256,4,109.282547,73.85,config_11728604,-0.08303652,14.26656628,12:24,0.7386,0.7917,0.7032,1083408,4597841920
32 16 16 8 16 32 32,152,3 3 4 4 4 3 4,25,32 32 32 32 32 32 32,224,7,15.8935194,63.54,config_11728605,-0.307887852,18.43810272,22:28,0.6354,0.7867,0.5967,681424,6572916736
16 8 16 8,48,6 4 3 3,16,64 64 64 64,256,4,93.42732239,70.26,config_11728606,-0.054953292,10.71288872,15:13,0.7027,0.7863,0.6657,819216,4329406464
8 8 8 8 16 32,80,3 3 3 6 6 3,24,32 32 32 32 32 32,192,6,13.12644768,57.86,config_11728607,-0.047851909,5.930839539,18:17,0.5783,0.7041,0.5314,481168,5528535040
8 8 32 32 16 8 32,136,3 3 3 4 4 4 3,24,196 196 196 196 196 196 196,1372,7,532.0065918,83.33,config_11728608,-7.000827789,310.241333,18:34,0.8333,0.8887,0.8098,8873688,16237025280
16 8 32 16 8,80,6 4 6 4 4,24,196 196 196 196 196,980,5,933.7974854,80.93,config_11728609,-0.902238488,117.3321457,15:11,0.8092,0.8757,0.7827,6443400,11684894720
32 32 8 16 8,96,6 3 4 3 6,22,64 64 64 64 64,320,5,103.7170486,76.09,config_11728610,-0.075698808,15.22885132,23:46,0.761,0.8206,0.7294,1315344,5713526784
16 8 32 32 16,104,3 4 6 6 3,22,32 32 32 32 32,160,5,16.83969116,57.02,config_11728611,-0.02824584,5.155862331,12:42,0.5701,0.7142,0.5226,480592,4685479936
8 32 16 16 8 16 32,128,4 3 4 4 4 3 6,28,128 128 128 128 128 128 128,896,7,294.0862122,81.28,config_11728612,-4.804326057,172.4956512,18:17,0.8128,0.8815,0.7881,5121168,11863261184
16 8 16 16 16,72,3 4 6 3 6,22,196 196 196 196 196,980,5,694.8706665,81.37,config_11728613,-0.900122643,123.2415161,12:33,0.8137,0.8821,0.7873,7034472,12288612352
