mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename2,grasp score,snip score,training time
8 32 16 8 ,64,6 6 6 4 ,22,196 196 196 196 ,784,4,1117.472168,,,-0.958545923,95.08737183,
32 8 32 16 32 8 32 ,160,3 6 3 6 3 3 6 ,30,196 196 196 196 196 196 196 ,1372,7,851.0421143,,,-3.086576939,281.0282288,
16 16 8 16 32 8 ,96,6 3 6 3 3 6 ,27,128 128 128 128 128 128 ,768,6,393.0403137,,,-0.423916638,52.83446884,
8 32 8 8 16 ,72,3 6 4 3 4 ,20,32 32 32 32 32 ,160,5,26.57475281,,,-0.057052307,3.51438117,
16 8 16 16 ,56,4 6 4 4 ,18,32 32 32 32 ,128,4,27.85394859,,,-0.091044694,3.737102747,
16 16 16 16 ,64,6 4 6 4 ,20,32 32 32 32 ,128,4,29.98413849,,,-0.061623804,4.10122776,
8 32 16 32 16 ,104,3 3 3 3 3 ,15,196 196 196 196 196 ,980,5,631.4628906,,,-1.382911563,106.0127029,
32 8 32 16 ,88,6 4 4 6 ,20,196 196 196 196 ,784,4,980.5037842,,,-1.041827083,91.7229538,
32 16 32 32 32 16 32 ,192,4 3 6 3 6 4 4 ,30,128 128 128 128 128 128 128 ,896,7,363.5787354,,,-3.018953562,148.8837433,
8 32 8 16 ,64,3 4 4 6 ,17,64 64 64 64 ,256,4,89.30912018,,,-0.559016407,15.78798771,
32 32 8 8 ,80,6 4 3 4 ,17,64 64 64 64 ,256,4,125.2958679,,,0.016364932,15.20540237,
16 16 16 16 8 32 ,104,3 6 6 4 6 6 ,31,128 128 128 128 128 128 ,768,6,393.1820374,,,-0.203047633,59.1692009,
8 32 16 32 32 ,120,3 4 6 4 6 ,23,196 196 196 196 196 ,980,5,759.6491699,,,-1.421178818,106.4368973,
8 32 16 32 32 ,120,6 3 6 4 4 ,23,128 128 128 128 128 ,640,5,398.1643066,,,-0.718449295,59.00964737,
32 32 8 32 16 16 8 ,144,4 4 4 3 3 4 3 ,25,128 128 128 128 128 128 128 ,896,7,397.086792,,,-3.247658491,111.9762878,
8 32 16 32 32 8 16 ,144,3 3 4 6 3 6 6 ,31,32 32 32 32 32 32 32 ,224,7,22.17095566,,,-0.700191736,18.46507263,
16 8 32 8 32 16 32 ,144,3 6 3 6 4 3 4 ,29,196 196 196 196 196 196 196 ,1372,7,848.6276245,,,-4.247669697,263.2564697,
32 8 16 16 16 32 ,120,3 3 3 3 6 3 ,21,196 196 196 196 196 196 ,1176,6,640.8996582,,,-1.318213105,126.6789932,
16 32 16 32 ,96,4 4 4 6 ,18,196 196 196 196 ,784,4,881.9956055,,,-1.870927811,102.9597549,
8 8 16 8 ,40,4 6 6 6 ,22,196 196 196 196 ,784,4,903.5457153,,,-0.614083171,87.98180389,
32 16 16 16 8 32 ,120,3 6 3 6 3 6 ,27,32 32 32 32 32 32 ,192,6,27.77420807,,,-0.116641767,7.037369728,
32 32 8 32 8 8 ,120,3 3 6 4 3 6 ,25,196 196 196 196 196 196 ,1176,6,731.4909058,,,-0.986555696,110.4960556,
32 32 32 8 16 ,120,4 3 3 6 3 ,19,64 64 64 64 64 ,320,5,105.5962677,,,-0.343422651,23.39250565,
8 16 16 16 8 ,64,6 6 4 3 3 ,22,64 64 64 64 64 ,320,5,127.3237,,,-0.698808491,17.19516373,
8 8 32 8 16 32 32 ,136,4 6 3 6 4 3 6 ,32,128 128 128 128 128 128 128 ,896,7,376.5847778,,,-1.357411385,144.8791504,
8 8 8 32 32 ,88,6 3 4 3 3 ,19,196 196 196 196 196 ,980,5,808.1143799,,,-1.150023699,91.78459167,
32 16 8 32 ,88,3 4 4 6 ,17,196 196 196 196 ,784,4,788.5524292,,,-1.652750254,93.3872757,
32 32 32 16 32 ,144,6 3 3 4 4 ,20,128 128 128 128 128 ,640,5,428.2130127,,,-0.76016593,66.80735016,
32 32 16 8 16 32 ,136,4 3 3 4 3 6 ,23,32 32 32 32 32 32 ,192,6,25.89449501,,,-0.183476791,7.716630459,
32 16 8 16 16 ,88,6 6 3 3 6 ,24,32 32 32 32 32 ,160,5,33.94494629,,,-0.101343319,4.612483978,
16 16 16 32 8 16 ,104,4 6 6 4 6 3 ,29,64 64 64 64 64 64 ,384,6,118.3711243,,,-0.393857658,21.0288887,
16 32 16 32 ,96,6 4 3 4 ,17,64 64 64 64 ,256,4,118.2029114,,,-0.687676787,18.29128456,
8 8 32 16 8 32 32 ,136,4 6 6 3 3 3 3 ,28,64 64 64 64 64 64 64 ,448,7,110.4840698,,,-2.9897964,54.02877045,
32 16 16 8 ,72,6 3 6 3 ,18,64 64 64 64 ,256,4,118.4383087,,,-0.243570909,16.80433655,
