mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename2,grasp score,snip score,training time
 8 16 32 32 8 ,96, 6 6 6 4 3 ,25, 32 32 32 32 32 ,160,5,23.5186348,89.52,config_11733905,-0.091228157,10.91657257,12:44
 32 16 8 32 32 16 8 ,144, 6 6 6 6 6 4 3 ,37, 64 64 64 64 64 64 64 ,448,7,97.1035614,91.27,config_11733906,0.792571425,70.29814911,15:02
 32 16 32 16 ,96, 3 4 6 4 ,17, 128 128 128 128 ,512,4,267.4440918,91.9,config_11733907,-0.588008225,88.9697113,12:44
 8 8 32 32 16 ,96, 4 6 6 3 3 ,22, 196 196 196 196 196 ,980,5,707.6115723,92.7,config_11733908,-0.649631023,153.171875,12:42
 8 32 8 8 8 ,64, 4 6 6 3 3 ,22, 64 64 64 64 64 ,320,5,80.39971161,90.63,config_11733909,0.013180659,21.98759079,13:13
 16 16 32 32 8 ,104, 6 4 3 6 3 ,22, 128 128 128 128 128 ,640,5,321.2004089,93.65,config_11733910,-0.504215598,96.5255127,16:12
 16 16 8 8 32 32 8 ,120, 6 4 6 4 6 4 6 ,36, 32 32 32 32 32 32 32 ,224,7,21.18151283,90.16,config_11733911,-0.923946559,33.55950928,17:30
 8 32 16 32 8 16 ,112, 4 4 3 3 3 4 ,21, 64 64 64 64 64 64 ,384,6,68.79011536,92.22,config_11733912,-0.163910061,33.20317459,13:21
 16 32 32 32 32 8 ,152, 4 4 6 3 4 3 ,24, 128 128 128 128 128 128 ,768,6,294.1216431,93.33,config_11733913,-0.536069453,114.7631454,12:51
 32 32 8 16 ,88, 3 4 6 3 ,16, 32 32 32 32 ,128,4,19.11738586,89.21,config_11733914,-0.054390118,11.10405827,16:06
 8 8 8 32 16 ,72, 3 3 4 6 4 ,20, 64 64 64 64 64 ,320,5,50.45091248,91.9,config_11733915,-0.156126365,25.30291367,13:21
 16 16 8 16 16 ,72, 3 6 4 6 6 ,25, 196 196 196 196 196 ,980,5,706.9729614,92.7,config_11733916,-0.025037341,157.247406,14:23
 8 16 16 32 32 32 32 ,168, 6 4 3 6 3 4 4 ,30, 64 64 64 64 64 64 64 ,448,7,75.31712341,90.79,config_11733917,-0.976290941,83.04549408,17:14
 32 8 32 32 ,104, 6 6 6 3 ,21, 32 32 32 32 ,128,4,24.94120789,90.16,config_11733918,0.001091114,12.38951874,12:22
 8 8 8 8 8 32 ,72, 6 6 3 6 3 4 ,28, 32 32 32 32 32 32 ,192,6,21.98937416,92.06,config_11733919,-0.045608114,9.913414001,13:01
 32 8 32 32 8 16 16 ,144, 6 6 4 3 6 3 4 ,32, 32 32 32 32 32 32 32 ,224,7,24.47532082,90.48,config_11733920,-0.690872073,31.86829758,14:28
 16 32 8 16 8 32 ,112, 4 3 6 4 4 4 ,25, 196 196 196 196 196 196 ,1176,6,648.3665161,92.54,config_11733921,-0.686203241,177.0537872,16:40
 8 16 32 16 32 16 8 ,128, 6 6 6 4 6 3 4 ,35, 196 196 196 196 196 196 196 ,1372,7,882.0697632,93.65,config_11733922,-3.221092224,344.3355713,17:06
 16 16 16 8 ,56, 3 4 6 3 ,16, 128 128 128 128 ,512,4,248.4671936,92.22,config_11733923,-0.468634009,70.64448547,12:36
 32 8 32 32 16 16 ,136, 4 3 3 6 4 3 ,23, 128 128 128 128 128 128 ,768,6,255.6868439,93.97,config_11733924,-0.380812615,115.4353561,20:01
 8 16 32 8 32 ,96, 3 6 3 4 4 ,20, 128 128 128 128 128 ,640,5,258.8493652,91.9,config_11733925,-0.639111876,77.86380005,13:36
 16 16 16 32 16 8 ,104, 3 3 6 3 4 3 ,22, 128 128 128 128 128 128 ,768,6,231.0967102,93.65,config_11733926,-0.004135787,101.6984024,13:36
 32 16 32 32 ,112, 4 6 6 3 ,19, 32 32 32 32 ,128,4,22.52726746,90,config_11733927,-0.003939092,12.38115025,11:35
 16 8 32 8 8 32 32 ,136, 3 6 3 6 6 6 6 ,36, 196 196 196 196 196 196 196 ,1372,7,663.2068481,92.54,config_11733928,-3.170884609,402.2978821,19:18
 16 16 16 8 16 32 16 ,120, 4 6 6 6 4 4 3 ,33, 196 196 196 196 196 196 196 ,1372,7,809.7926636,93.81,config_11733929,-3.210621595,380.2650146,15:00
 8 32 8 32 32 ,112, 6 4 4 4 3 ,21, 196 196 196 196 196 ,980,5,746.2028809,91.27,config_11733930,-0.43600738,145.9524841,12:18
 8 16 32 8 32 ,96, 3 6 4 6 6 ,25, 196 196 196 196 196 ,980,5,668.8156738,91.9,config_11733931,-1.039313197,150.4798737,13:41
 32 32 8 32 ,104, 3 4 3 4 ,14, 32 32 32 32 ,128,4,18.29711723,88.89,config_11733932,0.022858238,11.41797924,15:47
 8 32 32 16 32 32 8 ,160, 3 3 4 3 4 6 4 ,27, 128 128 128 128 128 128 128 ,896,7,219.4019165,93.33,config_11733933,-2.420479298,190.6464996,14:00
 16 16 32 16 8 16 ,104, 3 4 3 4 3 4 ,21, 196 196 196 196 196 196 ,1176,6,604.9758301,93.02,config_11733934,-0.956176877,190.541153,14:17
 32 32 32 16 32 8 32 ,184, 4 4 6 3 6 6 4 ,33, 128 128 128 128 128 128 128 ,896,7,307.0900574,92.86,config_11733935,-3.613246441,245.0211792,14:16
 16 16 32 8 ,72, 3 3 6 4 ,16, 128 128 128 128 ,512,4,232.6956482,91.75,config_11733936,-0.53452152,77.23168182,12:00
 8 8 32 8 ,56, 6 6 4 3 ,19, 128 128 128 128 ,512,4,326.5454407,94.13,config_11733937,-0.407200515,68.04993439,12:35
 16 16 8 32 ,72, 4 4 6 3 ,17, 64 64 64 64 ,256,4,69.62976837,91.75,config_11733938,-0.123116173,27.45685005,12:56
 16 32 8 8 8 8 16 ,96, 6 6 6 6 3 6 6 ,39, 32 32 32 32 32 32 32 ,224,7,24.99710083,89.68,config_11733939,-0.843533754,35.65795898,11:11
 8 16 32 8 8 32 8 ,112, 4 3 4 4 6 6 4 ,31, 128 128 128 128 128 128 128 ,896,7,236.2651367,93.49,config_11733940,-4.077122688,173.6281891,14:27
 8 16 32 8 8 32 32 ,136, 3 6 6 3 4 3 3 ,28, 196 196 196 196 196 196 196 ,1372,7,681.7042236,93.49,config_11733941,-4.556180954,362.6087036,12:04
 16 32 8 32 16 ,104, 6 3 4 6 3 ,22, 32 32 32 32 32 ,160,5,20.64192963,89.84,config_11733942,-0.099277511,10.56173992,14:10
 8 8 8 16 32 16 ,88, 6 4 4 4 6 4 ,28, 32 32 32 32 32 32 ,192,6,19.63527489,91.11,config_11733943,-0.127262294,11.04530334,10:42
 16 8 8 32 8 ,72, 3 4 6 3 3 ,19, 196 196 196 196 196 ,980,5,581.8336182,93.33,config_11733944,-0.190257579,145.1554871,13:14
 32 16 16 8 ,72, 6 6 3 4 ,19, 32 32 32 32 ,128,4,24.05152893,89.21,config_11733945,-0.044282205,9.297154427,13:14
 8 16 16 32 32 16 32 ,152, 4 6 4 4 3 3 4 ,28, 128 128 128 128 128 128 128 ,896,7,288.6947632,92.86,config_11733946,-3.164502859,219.9476166,11:10
 16 8 16 8 8 ,56, 3 4 3 3 4 ,17, 32 32 32 32 32 ,160,5,15.70219517,90.48,config_11733947,-0.071661912,7.402788639,13:15
 16 32 32 32 16 16 ,144, 3 3 6 4 4 3 ,23, 32 32 32 32 32 32 ,192,6,17.41389084,91.43,config_11733948,-0.095532045,12.90786839,13:38
 16 16 8 16 ,56, 3 3 6 6 ,18, 128 128 128 128 ,512,4,228.6193085,93.49,config_11733949,-0.399988264,70.42915344,9:47
 8 16 16 8 ,48, 6 6 3 3 ,18, 64 64 64 64 ,256,4,82.26259613,89.68,config_11733950,-0.144252747,20.86185074,12:39
 32 32 8 32 16 ,120, 3 4 6 6 4 ,23, 32 32 32 32 32 ,160,5,19.52981758,89.21,config_11733951,-0.006305326,12.34338188,13:24
 8 32 16 16 8 ,80, 3 4 3 3 4 ,17, 196 196 196 196 196 ,980,5,551.644043,92.54,config_11733952,-0.787733257,158.2571564,10:41
 32 8 16 32 8 8 ,104, 6 3 6 4 6 3 ,28, 64 64 64 64 64 64 ,384,6,79.5670166,91.11,config_11733953,-0.114940338,33.55633926,13:07
 8 16 32 8 ,64, 3 3 3 6 ,15, 64 64 64 64 ,256,4,53.08862305,90.95,config_11733954,-0.245216668,21.92533493,10:56
 32 16 8 16 16 ,88, 6 6 4 6 3 ,25, 64 64 64 64 64 ,320,5,93.89427185,93.17,config_11733955,0.01580346,26.59791374,13:13
 32 8 32 16 8 8 ,104, 4 6 6 4 3 4 ,27, 196 196 196 196 196 196 ,1176,6,757.7523193,92.86,config_11733956,-0.691228509,174.5183105,14:10
 16 16 8 16 8 ,64, 6 4 4 6 3 ,23, 128 128 128 128 128 ,640,5,317.1599426,93.97,config_11733957,-0.450407684,71.76715088,11:41
 32 16 32 8 32 32 ,152, 4 3 4 3 6 4 ,24, 196 196 196 196 196 196 ,1176,6,632.604187,92.22,config_11733958,-1.07089746,193.6795044,13:57
 32 8 8 32 ,80, 4 3 4 6 ,17, 196 196 196 196 ,784,4,583.3243408,93.17,config_11733959,-0.300389826,139.8498993,11:01
 8 32 16 32 16 8 8 ,120, 4 4 4 3 6 4 6 ,31, 32 32 32 32 32 32 32 ,224,7,18.44777298,90,config_11733960,-0.375190645,35.80734253,13:57
 16 8 32 16 16 32 ,120, 6 3 3 4 3 6 ,25, 128 128 128 128 128 128 ,768,6,286.8976746,93.33,config_11733961,-0.427681327,108.5850983,13:44
 16 32 8 16 32 16 ,120, 3 6 4 4 4 6 ,27, 64 64 64 64 64 64 ,384,6,75.15486908,92.22,config_11733962,-0.145952463,34.82711411,11:07
 8 8 8 32 16 8 ,80, 3 4 6 4 4 3 ,24, 32 32 32 32 32 32 ,192,6,16.11293602,90.95,config_11733963,-0.099927291,10.6347723,13:54
 32 32 32 8 8 8 8 ,128, 3 3 3 6 3 4 4 ,26, 128 128 128 128 128 128 128 ,896,7,245.9167328,91.9,config_11733964,-3.411669731,180.8999939,15:24
 32 8 16 16 8 16 ,96, 6 6 4 6 6 3 ,31, 196 196 196 196 196 196 ,1176,6,868.1160278,93.65,config_11733965,-0.646532655,183.295105,11:45
 8 16 16 16 16 32 ,104, 4 4 4 3 6 3 ,24, 64 64 64 64 64 64 ,384,6,64.78966522,92.06,config_11733966,-0.139688849,32.4949646,13:42
 32 32 32 32 ,128, 6 3 6 6 ,21, 64 64 64 64 ,256,4,88.76251984,92.54,config_11733967,-0.11894884,34.48670578,9:53
 16 32 32 32 ,112, 3 4 3 3 ,13, 32 32 32 32 ,128,4,17.37092972,89.05,config_11733968,-0.052155539,11.04944611,12:58
 16 32 16 16 ,80, 3 6 4 4 ,17, 128 128 128 128 ,512,4,285.3610535,93.17,config_11733969,-0.370504469,82.47595978,12:32
 8 8 32 32 8 32 8 ,128, 3 6 3 6 4 6 6 ,34, 64 64 64 64 64 64 64 ,448,7,65.23085785,90.32,config_11733970,-0.717591166,73.19034576,11:52
 32 32 16 16 8 32 8 ,144, 4 3 4 6 3 4 3 ,27, 196 196 196 196 196 196 196 ,1372,7,641.8740234,93.81,config_11733971,-2.920799494,323.8172302,16:05
 8 32 16 8 16 32 ,112, 3 4 6 4 6 6 ,29, 196 196 196 196 196 196 ,1176,6,590.6812744,92.54,config_11733972,-1.438515186,186.2537079,12:29
 16 8 8 32 16 8 16 ,104, 6 3 4 3 3 4 4 ,27, 196 196 196 196 196 196 196 ,1372,7,703.5057983,92.06,config_11733973,-1.694153666,369.0047607,14:56
 16 16 8 8 ,48, 4 3 4 3 ,14, 64 64 64 64 ,256,4,61.5214386,92.22,config_11733974,-0.214524537,20.43378258,13:03
 32 8 32 32 ,104, 3 3 3 4 ,13, 196 196 196 196 ,784,4,510.644989,93.33,config_11733975,-0.565119326,152.0579376,10:33
 16 32 16 16 ,80, 3 6 3 3 ,15, 64 64 64 64 ,256,4,73.59329987,92.38,config_11733976,0.089167871,26.4324398,12:16
 16 16 8 8 16 16 32 ,112, 4 3 3 4 6 4 3 ,27, 128 128 128 128 128 128 128 ,896,7,241.2288208,92.7,config_11733977,-2.113181591,198.1089935,13:28
 8 8 16 8 32 16 32 ,120, 4 4 4 6 3 3 4 ,28, 128 128 128 128 128 128 128 ,896,7,245.2786713,91.9,config_11733978,-4.355811596,212.67836,11:50
